task_id,name,issuer,context,context_degree,datasets,requirements,geo,submit_offset_s
0,eval-sanitize-1-r5-000,issuer4,x04,3,"[""d04""]","{""evalprop"": 1}",evalgeo,0.0
1,eval-sanitize-1-r5-001,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,1.0
2,eval-sanitize-1-r5-002,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,2.0
3,eval-sanitize-1-r5-003,issuer6,x06,6,"[""d06""]","{""evalprop"": 1}",evalgeo,3.0
4,eval-sanitize-1-r5-004,issuer3,x03,6,"[""d03""]","{""evalprop"": 1}",evalgeo,4.0
5,eval-sanitize-1-r5-005,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,5.0
6,eval-sanitize-1-r5-006,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,6.0
7,eval-sanitize-1-r5-007,issuer3,x03,6,"[""d03""]","{""evalprop"": 1}",evalgeo,7.0
8,eval-sanitize-1-r5-008,issuer6,x06,6,"[""d06""]","{""evalprop"": 1}",evalgeo,8.0
9,eval-sanitize-1-r5-009,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,9.0
10,eval-sanitize-1-r5-010,issuer5,x05,5,"[""d05""]","{""evalprop"": 1}",evalgeo,10.0
11,eval-sanitize-1-r5-011,issuer10,x10,5,"[""d10""]","{""evalprop"": 1}",evalgeo,11.0
12,eval-sanitize-1-r5-012,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,12.0
13,eval-sanitize-1-r5-013,issuer5,x05,5,"[""d05""]","{""evalprop"": 1}",evalgeo,13.0
14,eval-sanitize-1-r5-014,issuer2,x02,7,"[""d02""]","{""evalprop"": 1}",evalgeo,14.0
15,eval-sanitize-1-r5-015,issuer2,x02,7,"[""d02""]","{""evalprop"": 1}",evalgeo,15.0
16,eval-sanitize-1-r5-016,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,16.0
17,eval-sanitize-1-r5-017,issuer5,x05,5,"[""d05""]","{""evalprop"": 1}",evalgeo,17.0
18,eval-sanitize-1-r5-018,issuer6,x06,6,"[""d06""]","{""evalprop"": 1}",evalgeo,18.0
19,eval-sanitize-1-r5-019,issuer2,x02,7,"[""d02""]","{""evalprop"": 1}",evalgeo,19.0
20,eval-sanitize-1-r5-020,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,20.0
21,eval-sanitize-1-r5-021,issuer3,x03,6,"[""d03""]","{""evalprop"": 1}",evalgeo,21.0
22,eval-sanitize-1-r5-022,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,22.0
23,eval-sanitize-1-r5-023,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,23.0
24,eval-sanitize-1-r5-024,issuer6,x06,6,"[""d06""]","{""evalprop"": 1}",evalgeo,24.0
25,eval-sanitize-1-r5-025,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,25.0
26,eval-sanitize-1-r5-026,issuer6,x06,6,"[""d06""]","{""evalprop"": 1}",evalgeo,26.0
27,eval-sanitize-1-r5-027,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,27.0
28,eval-sanitize-1-r5-028,issuer6,x06,6,"[""d06""]","{""evalprop"": 1}",evalgeo,28.0
29,eval-sanitize-1-r5-029,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,29.0
30,eval-sanitize-1-r5-030,issuer6,x06,6,"[""d06""]","{""evalprop"": 1}",evalgeo,30.0
31,eval-sanitize-1-r5-031,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,31.0
32,eval-sanitize-1-r5-032,issuer5,x05,5,"[""d05""]","{""evalprop"": 1}",evalgeo,32.0
33,eval-sanitize-1-r5-033,issuer5,x05,5,"[""d05""]","{""evalprop"": 1}",evalgeo,33.0
34,eval-sanitize-1-r5-034,issuer4,x04,3,"[""d04""]","{""evalprop"": 1}",evalgeo,34.0
35,eval-sanitize-1-r5-035,issuer10,x10,5,"[""d10""]","{""evalprop"": 1}",evalgeo,35.0
36,eval-sanitize-1-r5-036,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,36.0
37,eval-sanitize-1-r5-037,issuer3,x03,6,"[""d03""]","{""evalprop"": 1}",evalgeo,37.0
38,eval-sanitize-1-r5-038,issuer10,x10,5,"[""d10""]","{""evalprop"": 1}",evalgeo,38.0
39,eval-sanitize-1-r5-039,issuer3,x03,6,"[""d03""]","{""evalprop"": 1}",evalgeo,39.0
40,eval-sanitize-1-r5-040,issuer2,x02,7,"[""d02""]","{""evalprop"": 1}",evalgeo,40.0
41,eval-sanitize-1-r5-041,issuer2,x02,7,"[""d02""]","{""evalprop"": 1}",evalgeo,41.0
42,eval-sanitize-1-r5-042,issuer10,x10,5,"[""d10""]","{""evalprop"": 1}",evalgeo,42.0
43,eval-sanitize-1-r5-043,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,43.0
44,eval-sanitize-1-r5-044,issuer5,x05,5,"[""d05""]","{""evalprop"": 1}",evalgeo,44.0
45,eval-sanitize-1-r5-045,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,45.0
46,eval-sanitize-1-r5-046,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,46.0
47,eval-sanitize-1-r5-047,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,47.0
48,eval-sanitize-1-r5-048,issuer6,x06,6,"[""d06""]","{""evalprop"": 1}",evalgeo,48.0
49,eval-sanitize-1-r5-049,issuer10,x10,5,"[""d10""]","{""evalprop"": 1}",evalgeo,49.0
50,eval-sanitize-1-r5-050,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,50.0
51,eval-sanitize-1-r5-051,issuer6,x06,6,"[""d06""]","{""evalprop"": 1}",evalgeo,51.0
52,eval-sanitize-1-r5-052,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,52.0
53,eval-sanitize-1-r5-053,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,53.0
54,eval-sanitize-1-r5-054,issuer3,x03,6,"[""d03""]","{""evalprop"": 1}",evalgeo,54.0
55,eval-sanitize-1-r5-055,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,55.0
56,eval-sanitize-1-r5-056,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,56.0
57,eval-sanitize-1-r5-057,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,57.0
58,eval-sanitize-1-r5-058,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,58.0
59,eval-sanitize-1-r5-059,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,59.0
60,eval-sanitize-1-r5-060,issuer5,x05,5,"[""d05""]","{""evalprop"": 1}",evalgeo,60.0
61,eval-sanitize-1-r5-061,issuer6,x06,6,"[""d06""]","{""evalprop"": 1}",evalgeo,61.0
62,eval-sanitize-1-r5-062,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,62.0
63,eval-sanitize-1-r5-063,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,63.0
64,eval-sanitize-1-r5-064,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,64.0
65,eval-sanitize-1-r5-065,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,65.0
66,eval-sanitize-1-r5-066,issuer4,x04,3,"[""d04""]","{""evalprop"": 1}",evalgeo,66.0
67,eval-sanitize-1-r5-067,issuer4,x04,3,"[""d04""]","{""evalprop"": 1}",evalgeo,67.0
68,eval-sanitize-1-r5-068,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,68.0
69,eval-sanitize-1-r5-069,issuer3,x03,6,"[""d03""]","{""evalprop"": 1}",evalgeo,69.0
70,eval-sanitize-1-r5-070,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,70.0
71,eval-sanitize-1-r5-071,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,71.0
72,eval-sanitize-1-r5-072,issuer2,x02,7,"[""d02""]","{""evalprop"": 1}",evalgeo,72.0
73,eval-sanitize-1-r5-073,issuer10,x10,5,"[""d10""]","{""evalprop"": 1}",evalgeo,73.0
74,eval-sanitize-1-r5-074,issuer5,x05,5,"[""d05""]","{""evalprop"": 1}",evalgeo,74.0
75,eval-sanitize-1-r5-075,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,75.0
76,eval-sanitize-1-r5-076,issuer5,x05,5,"[""d05""]","{""evalprop"": 1}",evalgeo,76.0
77,eval-sanitize-1-r5-077,issuer2,x02,7,"[""d02""]","{""evalprop"": 1}",evalgeo,77.0
78,eval-sanitize-1-r5-078,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,78.0
79,eval-sanitize-1-r5-079,issuer3,x03,6,"[""d03""]","{""evalprop"": 1}",evalgeo,79.0
80,eval-sanitize-1-r5-080,issuer10,x10,5,"[""d10""]","{""evalprop"": 1}",evalgeo,80.0
81,eval-sanitize-1-r5-081,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,81.0
82,eval-sanitize-1-r5-082,issuer3,x03,6,"[""d03""]","{""evalprop"": 1}",evalgeo,82.0
83,eval-sanitize-1-r5-083,issuer2,x02,7,"[""d02""]","{""evalprop"": 1}",evalgeo,83.0
84,eval-sanitize-1-r5-084,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,84.0
85,eval-sanitize-1-r5-085,issuer2,x02,7,"[""d02""]","{""evalprop"": 1}",evalgeo,85.0
86,eval-sanitize-1-r5-086,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,86.0
87,eval-sanitize-1-r5-087,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,87.0
88,eval-sanitize-1-r5-088,issuer2,x02,7,"[""d02""]","{""evalprop"": 1}",evalgeo,88.0
89,eval-sanitize-1-r5-089,issuer4,x04,3,"[""d04""]","{""evalprop"": 1}",evalgeo,89.0
90,eval-sanitize-1-r5-090,issuer5,x05,5,"[""d05""]","{""evalprop"": 1}",evalgeo,90.0
91,eval-sanitize-1-r5-091,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,91.0
92,eval-sanitize-1-r5-092,issuer6,x06,6,"[""d06""]","{""evalprop"": 1}",evalgeo,92.0
93,eval-sanitize-1-r5-093,issuer4,x04,3,"[""d04""]","{""evalprop"": 1}",evalgeo,93.0
94,eval-sanitize-1-r5-094,issuer2,x02,7,"[""d02""]","{""evalprop"": 1}",evalgeo,94.0
95,eval-sanitize-1-r5-095,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,95.0
96,eval-sanitize-1-r5-096,issuer10,x10,5,"[""d10""]","{""evalprop"": 1}",evalgeo,96.0
97,eval-sanitize-1-r5-097,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,97.0
98,eval-sanitize-1-r5-098,issuer4,x04,3,"[""d04""]","{""evalprop"": 1}",evalgeo,98.0
99,eval-sanitize-1-r5-099,issuer6,x06,6,"[""d06""]","{""evalprop"": 1}",evalgeo,99.0
100,eval-sanitize-1-r5-100,issuer3,x03,6,"[""d03""]","{""evalprop"": 1}",evalgeo,100.0
101,eval-sanitize-1-r5-101,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,101.0
102,eval-sanitize-1-r5-102,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,102.0
103,eval-sanitize-1-r5-103,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,103.0
104,eval-sanitize-1-r5-104,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,104.0
105,eval-sanitize-1-r5-105,issuer10,x10,5,"[""d10""]","{""evalprop"": 1}",evalgeo,105.0
106,eval-sanitize-1-r5-106,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,106.0
107,eval-sanitize-1-r5-107,issuer5,x05,5,"[""d05""]","{""evalprop"": 1}",evalgeo,107.0
108,eval-sanitize-1-r5-108,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,108.0
109,eval-sanitize-1-r5-109,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,109.0
110,eval-sanitize-1-r5-110,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,110.0
111,eval-sanitize-1-r5-111,issuer2,x02,7,"[""d02""]","{""evalprop"": 1}",evalgeo,111.0
112,eval-sanitize-1-r5-112,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,112.0
113,eval-sanitize-1-r5-113,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,113.0
114,eval-sanitize-1-r5-114,issuer10,x10,5,"[""d10""]","{""evalprop"": 1}",evalgeo,114.0
115,eval-sanitize-1-r5-115,issuer2,x02,7,"[""d02""]","{""evalprop"": 1}",evalgeo,115.0
116,eval-sanitize-1-r5-116,issuer3,x03,6,"[""d03""]","{""evalprop"": 1}",evalgeo,116.0
117,eval-sanitize-1-r5-117,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,117.0
118,eval-sanitize-1-r5-118,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,118.0
119,eval-sanitize-1-r5-119,issuer2,x02,7,"[""d02""]","{""evalprop"": 1}",evalgeo,119.0
120,eval-sanitize-1-r5-120,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,120.0
121,eval-sanitize-1-r5-121,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,121.0
122,eval-sanitize-1-r5-122,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,122.0
123,eval-sanitize-1-r5-123,issuer2,x02,7,"[""d02""]","{""evalprop"": 1}",evalgeo,123.0
124,eval-sanitize-1-r5-124,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,124.0
125,eval-sanitize-1-r5-125,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,125.0
126,eval-sanitize-1-r5-126,issuer6,x06,6,"[""d06""]","{""evalprop"": 1}",evalgeo,126.0
127,eval-sanitize-1-r5-127,issuer3,x03,6,"[""d03""]","{""evalprop"": 1}",evalgeo,127.0
128,eval-sanitize-1-r5-128,issuer4,x04,3,"[""d04""]","{""evalprop"": 1}",evalgeo,128.0
129,eval-sanitize-1-r5-129,issuer9,x09,4,"[""d09""]","{""evalprop"": 1}",evalgeo,129.0
130,eval-sanitize-1-r5-130,issuer4,x04,3,"[""d04""]","{""evalprop"": 1}",evalgeo,130.0
131,eval-sanitize-1-r5-131,issuer10,x10,5,"[""d10""]","{""evalprop"": 1}",evalgeo,131.0
132,eval-sanitize-1-r5-132,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,132.0
133,eval-sanitize-1-r5-133,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,133.0
134,eval-sanitize-1-r5-134,issuer3,x03,6,"[""d03""]","{""evalprop"": 1}",evalgeo,134.0
135,eval-sanitize-1-r5-135,issuer6,x06,6,"[""d06""]","{""evalprop"": 1}",evalgeo,135.0
136,eval-sanitize-1-r5-136,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,136.0
137,eval-sanitize-1-r5-137,issuer4,x04,3,"[""d04""]","{""evalprop"": 1}",evalgeo,137.0
138,eval-sanitize-1-r5-138,issuer8,x08,4,"[""d08""]","{""evalprop"": 1}",evalgeo,138.0
139,eval-sanitize-1-r5-139,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,139.0
140,eval-sanitize-1-r5-140,issuer3,x03,6,"[""d03""]","{""evalprop"": 1}",evalgeo,140.0
