task_id,name,issuer,context,context_degree,datasets,requirements,geo,submit_offset_s
0,eval-conflicts-rho005-r5-000,issuer4,x04,0,"[""d04""]","{""evalprop"": 1}",evalgeo,0.0
1,eval-conflicts-rho005-r5-001,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,1.0
2,eval-conflicts-rho005-r5-002,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,2.0
3,eval-conflicts-rho005-r5-003,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,3.0
4,eval-conflicts-rho005-r5-004,issuer3,x03,1,"[""d03""]","{""evalprop"": 1}",evalgeo,4.0
5,eval-conflicts-rho005-r5-005,issuer4,x04,0,"[""d04""]","{""evalprop"": 1}",evalgeo,5.0
6,eval-conflicts-rho005-r5-006,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,6.0
7,eval-conflicts-rho005-r5-007,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,7.0
8,eval-conflicts-rho005-r5-008,issuer3,x03,1,"[""d03""]","{""evalprop"": 1}",evalgeo,8.0
9,eval-conflicts-rho005-r5-009,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,9.0
10,eval-conflicts-rho005-r5-010,issuer4,x04,0,"[""d04""]","{""evalprop"": 1}",evalgeo,10.0
11,eval-conflicts-rho005-r5-011,issuer2,x02,0,"[""d02""]","{""evalprop"": 1}",evalgeo,11.0
12,eval-conflicts-rho005-r5-012,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,12.0
13,eval-conflicts-rho005-r5-013,issuer8,x08,2,"[""d08""]","{""evalprop"": 1}",evalgeo,13.0
14,eval-conflicts-rho005-r5-014,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,14.0
15,eval-conflicts-rho005-r5-015,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,15.0
16,eval-conflicts-rho005-r5-016,issuer7,x07,1,"[""d07""]","{""evalprop"": 1}",evalgeo,16.0
17,eval-conflicts-rho005-r5-017,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,17.0
18,eval-conflicts-rho005-r5-018,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,18.0
19,eval-conflicts-rho005-r5-019,issuer4,x04,0,"[""d04""]","{""evalprop"": 1}",evalgeo,19.0
20,eval-conflicts-rho005-r5-020,issuer4,x04,0,"[""d04""]","{""evalprop"": 1}",evalgeo,20.0
21,eval-conflicts-rho005-r5-021,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,21.0
22,eval-conflicts-rho005-r5-022,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,22.0
23,eval-conflicts-rho005-r5-023,issuer4,x04,0,"[""d04""]","{""evalprop"": 1}",evalgeo,23.0
24,eval-conflicts-rho005-r5-024,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,24.0
25,eval-conflicts-rho005-r5-025,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,25.0
26,eval-conflicts-rho005-r5-026,issuer7,x07,1,"[""d07""]","{""evalprop"": 1}",evalgeo,26.0
27,eval-conflicts-rho005-r5-027,issuer4,x04,0,"[""d04""]","{""evalprop"": 1}",evalgeo,27.0
28,eval-conflicts-rho005-r5-028,issuer10,x10,0,"[""d10""]","{""evalprop"": 1}",evalgeo,28.0
29,eval-conflicts-rho005-r5-029,issuer8,x08,2,"[""d08""]","{""evalprop"": 1}",evalgeo,29.0
30,eval-conflicts-rho005-r5-030,issuer7,x07,1,"[""d07""]","{""evalprop"": 1}",evalgeo,30.0
31,eval-conflicts-rho005-r5-031,issuer8,x08,2,"[""d08""]","{""evalprop"": 1}",evalgeo,31.0
32,eval-conflicts-rho005-r5-032,issuer2,x02,0,"[""d02""]","{""evalprop"": 1}",evalgeo,32.0
33,eval-conflicts-rho005-r5-033,issuer8,x08,2,"[""d08""]","{""evalprop"": 1}",evalgeo,33.0
34,eval-conflicts-rho005-r5-034,issuer10,x10,0,"[""d10""]","{""evalprop"": 1}",evalgeo,34.0
35,eval-conflicts-rho005-r5-035,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,35.0
36,eval-conflicts-rho005-r5-036,issuer8,x08,2,"[""d08""]","{""evalprop"": 1}",evalgeo,36.0
37,eval-conflicts-rho005-r5-037,issuer10,x10,0,"[""d10""]","{""evalprop"": 1}",evalgeo,37.0
38,eval-conflicts-rho005-r5-038,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,38.0
39,eval-conflicts-rho005-r5-039,issuer8,x08,2,"[""d08""]","{""evalprop"": 1}",evalgeo,39.0
40,eval-conflicts-rho005-r5-040,issuer7,x07,1,"[""d07""]","{""evalprop"": 1}",evalgeo,40.0
41,eval-conflicts-rho005-r5-041,issuer2,x02,0,"[""d02""]","{""evalprop"": 1}",evalgeo,41.0
42,eval-conflicts-rho005-r5-042,issuer8,x08,2,"[""d08""]","{""evalprop"": 1}",evalgeo,42.0
43,eval-conflicts-rho005-r5-043,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,43.0
44,eval-conflicts-rho005-r5-044,issuer4,x04,0,"[""d04""]","{""evalprop"": 1}",evalgeo,44.0
45,eval-conflicts-rho005-r5-045,issuer3,x03,1,"[""d03""]","{""evalprop"": 1}",evalgeo,45.0
46,eval-conflicts-rho005-r5-046,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,46.0
47,eval-conflicts-rho005-r5-047,issuer3,x03,1,"[""d03""]","{""evalprop"": 1}",evalgeo,47.0
48,eval-conflicts-rho005-r5-048,issuer10,x10,0,"[""d10""]","{""evalprop"": 1}",evalgeo,48.0
49,eval-conflicts-rho005-r5-049,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,49.0
50,eval-conflicts-rho005-r5-050,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,50.0
51,eval-conflicts-rho005-r5-051,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,51.0
52,eval-conflicts-rho005-r5-052,issuer8,x08,2,"[""d08""]","{""evalprop"": 1}",evalgeo,52.0
53,eval-conflicts-rho005-r5-053,issuer3,x03,1,"[""d03""]","{""evalprop"": 1}",evalgeo,53.0
54,eval-conflicts-rho005-r5-054,issuer2,x02,0,"[""d02""]","{""evalprop"": 1}",evalgeo,54.0
55,eval-conflicts-rho005-r5-055,issuer2,x02,0,"[""d02""]","{""evalprop"": 1}",evalgeo,55.0
56,eval-conflicts-rho005-r5-056,issuer7,x07,1,"[""d07""]","{""evalprop"": 1}",evalgeo,56.0
57,eval-conflicts-rho005-r5-057,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,57.0
58,eval-conflicts-rho005-r5-058,issuer2,x02,0,"[""d02""]","{""evalprop"": 1}",evalgeo,58.0
59,eval-conflicts-rho005-r5-059,issuer8,x08,2,"[""d08""]","{""evalprop"": 1}",evalgeo,59.0
60,eval-conflicts-rho005-r5-060,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,60.0
61,eval-conflicts-rho005-r5-061,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,61.0
62,eval-conflicts-rho005-r5-062,issuer7,x07,1,"[""d07""]","{""evalprop"": 1}",evalgeo,62.0
63,eval-conflicts-rho005-r5-063,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,63.0
64,eval-conflicts-rho005-r5-064,issuer4,x04,0,"[""d04""]","{""evalprop"": 1}",evalgeo,64.0
