task_id,name,issuer,context,context_degree,datasets,requirements,geo,submit_offset_s
0,eval-sanitize-10-r2-000,issuer9,x09,3,"[""d09""]","{""evalprop"": 1}",evalgeo,0.0
1,eval-sanitize-10-r2-001,issuer8,x08,5,"[""d08""]","{""evalprop"": 1}",evalgeo,1.0
2,eval-sanitize-10-r2-002,issuer8,x08,5,"[""d08""]","{""evalprop"": 1}",evalgeo,2.0
3,eval-sanitize-10-r2-003,issuer5,x05,7,"[""d05""]","{""evalprop"": 1}",evalgeo,3.0
4,eval-sanitize-10-r2-004,issuer9,x09,3,"[""d09""]","{""evalprop"": 1}",evalgeo,4.0
5,eval-sanitize-10-r2-005,issuer6,x06,3,"[""d06""]","{""evalprop"": 1}",evalgeo,5.0
6,eval-sanitize-10-r2-006,issuer9,x09,3,"[""d09""]","{""evalprop"": 1}",evalgeo,6.0
7,eval-sanitize-10-r2-007,issuer2,x02,6,"[""d02""]","{""evalprop"": 1}",evalgeo,7.0
8,eval-sanitize-10-r2-008,issuer9,x09,3,"[""d09""]","{""evalprop"": 1}",evalgeo,8.0
9,eval-sanitize-10-r2-009,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,9.0
10,eval-sanitize-10-r2-010,issuer10,x10,5,"[""d10""]","{""evalprop"": 1}",evalgeo,10.0
11,eval-sanitize-10-r2-011,issuer5,x05,7,"[""d05""]","{""evalprop"": 1}",evalgeo,11.0
12,eval-sanitize-10-r2-012,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,12.0
13,eval-sanitize-10-r2-013,issuer3,x03,5,"[""d03""]","{""evalprop"": 1}",evalgeo,13.0
14,eval-sanitize-10-r2-014,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,14.0
15,eval-sanitize-10-r2-015,issuer8,x08,5,"[""d08""]","{""evalprop"": 1}",evalgeo,15.0
16,eval-sanitize-10-r2-016,issuer10,x10,5,"[""d10""]","{""evalprop"": 1}",evalgeo,16.0
17,eval-sanitize-10-r2-017,issuer3,x03,5,"[""d03""]","{""evalprop"": 1}",evalgeo,17.0
18,eval-sanitize-10-r2-018,issuer3,x03,5,"[""d03""]","{""evalprop"": 1}",evalgeo,18.0
19,eval-sanitize-10-r2-019,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,19.0
20,eval-sanitize-10-r2-020,issuer10,x10,5,"[""d10""]","{""evalprop"": 1}",evalgeo,20.0
21,eval-sanitize-10-r2-021,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,21.0
22,eval-sanitize-10-r2-022,issuer8,x08,5,"[""d08""]","{""evalprop"": 1}",evalgeo,22.0
23,eval-sanitize-10-r2-023,issuer2,x02,6,"[""d02""]","{""evalprop"": 1}",evalgeo,23.0
24,eval-sanitize-10-r2-024,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,24.0
25,eval-sanitize-10-r2-025,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,25.0
26,eval-sanitize-10-r2-026,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,26.0
27,eval-sanitize-10-r2-027,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,27.0
28,eval-sanitize-10-r2-028,issuer5,x05,7,"[""d05""]","{""evalprop"": 1}",evalgeo,28.0
29,eval-sanitize-10-r2-029,issuer10,x10,5,"[""d10""]","{""evalprop"": 1}",evalgeo,29.0
30,eval-sanitize-10-r2-030,issuer4,x04,6,"[""d04""]","{""evalprop"": 1}",evalgeo,30.0
31,eval-sanitize-10-r2-031,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,31.0
32,eval-sanitize-10-r2-032,issuer9,x09,3,"[""d09""]","{""evalprop"": 1}",evalgeo,32.0
33,eval-sanitize-10-r2-033,issuer6,x06,3,"[""d06""]","{""evalprop"": 1}",evalgeo,33.0
34,eval-sanitize-10-r2-034,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,34.0
35,eval-sanitize-10-r2-035,issuer5,x05,7,"[""d05""]","{""evalprop"": 1}",evalgeo,35.0
36,eval-sanitize-10-r2-036,issuer6,x06,3,"[""d06""]","{""evalprop"": 1}",evalgeo,36.0
37,eval-sanitize-10-r2-037,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,37.0
38,eval-sanitize-10-r2-038,issuer5,x05,7,"[""d05""]","{""evalprop"": 1}",evalgeo,38.0
39,eval-sanitize-10-r2-039,issuer3,x03,5,"[""d03""]","{""evalprop"": 1}",evalgeo,39.0
40,eval-sanitize-10-r2-040,issuer9,x09,3,"[""d09""]","{""evalprop"": 1}",evalgeo,40.0
41,eval-sanitize-10-r2-041,issuer2,x02,6,"[""d02""]","{""evalprop"": 1}",evalgeo,41.0
42,eval-sanitize-10-r2-042,issuer4,x04,6,"[""d04""]","{""evalprop"": 1}",evalgeo,42.0
43,eval-sanitize-10-r2-043,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,43.0
44,eval-sanitize-10-r2-044,issuer6,x06,3,"[""d06""]","{""evalprop"": 1}",evalgeo,44.0
45,eval-sanitize-10-r2-045,issuer7,x07,4,"[""d07""]","{""evalprop"": 1}",evalgeo,45.0
46,eval-sanitize-10-r2-046,issuer1,x01,2,"[""d01""]","{""evalprop"": 1}",evalgeo,46.0
47,eval-sanitize-10-r2-047,issuer6,x06,3,"[""d06""]","{""evalprop"": 1}",evalgeo,47.0
48,eval-sanitize-10-r2-048,issuer5,x05,7,"[""d05""]","{""evalprop"": 1}",evalgeo,48.0
49,eval-sanitize-10-r2-049,issuer2,x02,6,"[""d02""]","{""evalprop"": 1}",evalgeo,49.0
50,eval-sanitize-10-r2-050,issuer5,x05,7,"[""d05""]","{""evalprop"": 1}",evalgeo,50.0
51,eval-sanitize-10-r2-051,issuer4,x04,6,"[""d04""]","{""evalprop"": 1}",evalgeo,51.0
52,eval-sanitize-10-r2-052,issuer10,x10,5,"[""d10""]","{""evalprop"": 1}",evalgeo,52.0
